actor,object,metadata
201822111310259,10-1：开篇实例,7.31
201822111310259,10-2：Hadoop和Spark生态,590.38
201822111310259,10-3：MapReduce入门,1597.36
201822111310259,10-4：SQL on Hadoop,1040.4
201822111310259,10-5：大数据系统实例,566.77
201822111310259,10-6：总结,198.64
201822111310259,图文课件,813.64
201822111310265,10-1：开篇实例,6.4399999999999995
201822111310265,10-2：Hadoop和Spark生态,5.890000000000001
201822111310265,10-3：MapReduce入门,8.16
201822111310265,10-4：SQL on Hadoop,4.64
201822111310265,10-5：大数据系统实例,4.15
201822111310265,图文课件,125.43
201822111310311,10-2：Hadoop和Spark生态,681.58
201822111310311,10-3：MapReduce入门,886.25
201822111310311,10-4：SQL on Hadoop,279.71
201822111310311,10-5：大数据系统实例,15.48
201822111310311,10-6：总结,86.96
201822111310311,图文课件,8.18
201822111310326,10-1：开篇实例,4069.23
201822111310326,10-2：Hadoop和Spark生态,709.3299999999999
201822111310326,10-3：MapReduce入门,980.76
201822111310326,10-4：SQL on Hadoop,375.04
201822111310326,10-5：大数据系统实例,483.86
201822111310326,10-6：总结,196.3
201822111310332,10-1：开篇实例,291.52
201822111310332,10-2：Hadoop和Spark生态,578.16
201822111310332,10-3：MapReduce入门,972.15
201822111321005,10-1：开篇实例,301.07
201822111321005,图文课件,2.79
201822111321019,10-1：开篇实例,579.73
201822111321019,10-2：Hadoop和Spark生态,796.15
201822111321019,10-3：MapReduce入门,1000.35
201822111321019,10-4：SQL on Hadoop,1060.47
201822111321019,10-5：大数据系统实例,830.59
201822111321019,图文课件,6.39
201931103031004,10-1：开篇实例,8.97
201931103031004,10-2：Hadoop和Spark生态,4.12
201931103031004,图文课件,14.56
201931106020148,10-1：开篇实例,295.33
201931106020148,10-2：Hadoop和Spark生态,1093.04
201931106020148,10-3：MapReduce入门,997.8000000000001
201931106020148,10-4：SQL on Hadoop,373.02
201931106020148,10-5：大数据系统实例,498.26
201931106020148,图文课件,52.35
201931106030001,10-1：开篇实例,413.68
201931106030001,10-2：Hadoop和Spark生态,1936.71
201931106030001,10-3：MapReduce入门,2006.63
201931106030001,10-4：SQL on Hadoop,536.3399999999999
201931106030001,10-5：大数据系统实例,646.1300000000001
201931106030001,图文课件,3895.67
201931108024014,10-4：SQL on Hadoop,703.81
201931108024014,图文课件,15.040000000000001
adminhubu,10-1：开篇实例,5.4
adminhubu,10-5：大数据系统实例,45.22
adminhubu,图文课件,19.55
