actor,object,metadata
201822111310326,5-2：问题求解与思维方式,809.99
201822111310326,5-3：计算思维与数据思维,1071.11
201822111310326,5-4：像数据科学家一样思考,1059.44
201822111310326,5-5：总结,95.16
201822111310332,5-1：开篇实例,867.77
201822111310332,5-2：问题求解与思维方式,788.35
201822111310332,5-3：计算思维与数据思维,1264.21
201822111310332,5-4：像数据科学家一样思考,926.65
201822111321005,5-1：开篇实例,819.55
201822111321005,5-2：问题求解与思维方式,742.78
201822111321019,5-1：开篇实例,507.89
201822111321019,5-2：问题求解与思维方式,1532.17
201822111321019,5-3：计算思维与数据思维,1163.64
201822111321019,5-4：像数据科学家一样思考,1192.77
201822111321038,5-1：开篇实例,448.13
201822111321038,5-2：问题求解与思维方式,801.45
201822111321038,5-3：计算思维与数据思维,1086.12
201822111321038,5-4：像数据科学家一样思考,1627.73
201822111511015,5-1：开篇实例,155.46
201822111511015,5-2：问题求解与思维方式,113.51
201822111511015,5-3：计算思维与数据思维,343.68
201822111511016,5-1：开篇实例,509.9
201822111511016,5-2：问题求解与思维方式,766.86
201822111511016,5-3：计算思维与数据思维,1185.08
201822111511016,5-4：像数据科学家一样思考,500.64
201931103031004,5-1：开篇实例,1260.65
201931103031004,5-2：问题求解与思维方式,571.14
201931103031004,5-3：计算思维与数据思维,514.36
201931103031004,5-4：像数据科学家一样思考,833.86
201931106020148,5-1：开篇实例,361.41
201931106020148,5-2：问题求解与思维方式,747.05
201931106020148,5-3：计算思维与数据思维,1199.09
201931106020148,5-4：像数据科学家一样思考,653.4599999999999
201931106020148,5-5：总结,8.09
201931106020172,5-1：开篇实例,319.66
201931106020172,5-2：问题求解与思维方式,1073.78
201931106030001,5-1：开篇实例,363.32
201931106030001,5-2：问题求解与思维方式,1488.2
201931106030001,5-3：计算思维与数据思维,1177.98
201931106030001,5-4：像数据科学家一样思考,583.48
201931107010103,5-1：开篇实例,1096.79
201931107010103,5-2：问题求解与思维方式,856.3
201931107010103,5-3：计算思维与数据思维,2677.58
201931107010103,5-4：像数据科学家一样思考,832.1
201931107010206,5-1：开篇实例,346.01
201931107010206,5-2：问题求解与思维方式,750.24
201931107010206,5-3：计算思维与数据思维,152.73
201931107010235,5-1：开篇实例,1519.64
201931107010235,5-2：问题求解与思维方式,895.66
201931108021022,5-1：开篇实例,358.27
201931108021022,5-2：问题求解与思维方式,813.12
201931108021022,5-3：计算思维与数据思维,1181.09
201931108021022,5-4：像数据科学家一样思考,675.53
201931108024014,5-1：开篇实例,710.54
201931108024014,5-2：问题求解与思维方式,813.91
201931108024014,5-3：计算思维与数据思维,1282.63
201931108024014,5-4：像数据科学家一样思考,918.6
201931109010006,5-1：开篇实例,333.43
201931109010006,5-2：问题求解与思维方式,1765.09
