actor,object,metadata
20120010,6-1：开篇实例,2.45
20120010,6-4：数据的二进制表示,5.77
20120010,6-5：总结（暂缺）,0.5
201722110826005,6-1：开篇实例,1074.24
201722110826005,6-2：比特：虚拟世界的DNA,1426.45
201722110826005,6-3：现象、数据、信息和知识,1317.76
201722110826005,6-4：数据的二进制表示,1524.64
201722110826005,6-5：总结（暂缺）,0.0
201722111930013,6-1：开篇实例,727.36
201722111930013,6-2：比特：虚拟世界的DNA,903.75
201722111930013,6-3：现象、数据、信息和知识,739.33
201722111930013,6-4：数据的二进制表示,1208.76
201722111930013,6-5：总结（暂缺）,16.340000000000003
201822111220032,6-1：开篇实例,169.53
201822111220032,6-2：比特：虚拟世界的DNA,1045.35
201822111220032,6-3：现象、数据、信息和知识,731.9300000000001
201822111220032,6-4：数据的二进制表示,0.0
201822111220032,6-5：总结（暂缺）,0.0
201822111310033,6-3：现象、数据、信息和知识,1225.37
201822111310033,6-4：数据的二进制表示,1.67
201822111310033,6-5：总结（暂缺）,450.16
201822111310036,6-1：开篇实例,533.26
201822111310036,6-2：比特：虚拟世界的DNA,986.17
201822111310036,6-3：现象、数据、信息和知识,592.17
201822111310036,6-4：数据的二进制表示,1777.03
201822111310036,6-5：总结（暂缺）,12.870000000000001
201822111310043,6-1：开篇实例,547.68
201822111310043,6-2：比特：虚拟世界的DNA,1079.71
201822111310043,6-3：现象、数据、信息和知识,809.98
201822111310043,6-4：数据的二进制表示,461.34999999999997
201822111310043,6-5：总结（暂缺）,5.42
201822111310055,6-1：开篇实例,698.65
201822111310055,6-2：比特：虚拟世界的DNA,1200.16
201822111310055,6-3：现象、数据、信息和知识,656.92
201822111310055,6-4：数据的二进制表示,2430.08
201822111310055,6-5：总结（暂缺）,0.0
201822111310071,6-1：开篇实例,420.91
201822111310071,6-2：比特：虚拟世界的DNA,1503.16
201822111310071,6-3：现象、数据、信息和知识,877.92
201822111310071,6-4：数据的二进制表示,1806.13
201822111310071,6-5：总结（暂缺）,0.0
201822111310075,6-1：开篇实例,792.12
201822111310075,6-2：比特：虚拟世界的DNA,943.93
201822111310075,6-3：现象、数据、信息和知识,314.88
201822111310075,6-4：数据的二进制表示,1373.87
201822111310075,6-5：总结（暂缺）,0.0
201822111310087,6-1：开篇实例,566.64
201822111310087,6-2：比特：虚拟世界的DNA,1823.84
201822111310087,6-3：现象、数据、信息和知识,625.6
201822111310087,6-4：数据的二进制表示,1288.1399999999999
201822111310087,6-5：总结（暂缺）,12.870000000000001
201822111310103,6-1：开篇实例,1079.46
201822111310103,6-2：比特：虚拟世界的DNA,1028.58
201822111310103,6-3：现象、数据、信息和知识,599.95
201822111310103,6-4：数据的二进制表示,1442.96
201822111310103,6-5：总结（暂缺）,0.0
201822111310123,6-1：开篇实例,0.0
201822111310124,6-1：开篇实例,421.85
201822111310124,6-2：比特：虚拟世界的DNA,1364.1
201822111310124,6-3：现象、数据、信息和知识,597.69
201822111310124,6-4：数据的二进制表示,238.3
201822111310127,6-1：开篇实例,424.97
201822111310127,6-2：比特：虚拟世界的DNA,886.97
201822111310127,6-3：现象、数据、信息和知识,601.63
201822111310127,6-4：数据的二进制表示,1181.08
201822111310127,6-5：总结（暂缺）,3.66
201822111310130,6-1：开篇实例,969.7
201822111310130,6-2：比特：虚拟世界的DNA,1364.43
201822111310130,6-3：现象、数据、信息和知识,655.68
201822111310130,6-4：数据的二进制表示,0.0
201822111310131,6-1：开篇实例,895.65
201822111310131,6-2：比特：虚拟世界的DNA,1050.81
201822111310131,6-3：现象、数据、信息和知识,0.0
201822111310137,6-1：开篇实例,387.4
201822111310137,6-2：比特：虚拟世界的DNA,90.69
201822111310137,6-4：数据的二进制表示,0.0
201822111310139,6-1：开篇实例,475.06
201822111310139,6-2：比特：虚拟世界的DNA,898.01
201822111310139,6-3：现象、数据、信息和知识,600.08
201822111310139,6-4：数据的二进制表示,1177.82
201822111310139,6-5：总结（暂缺）,1.97
201822111310142,6-1：开篇实例,947.74
201822111310142,6-2：比特：虚拟世界的DNA,17320.7
201822111310142,6-3：现象、数据、信息和知识,3602.01
201822111310142,6-4：数据的二进制表示,0.0
201822111310144,6-1：开篇实例,467.67
201822111310144,6-2：比特：虚拟世界的DNA,1032.99
201822111310144,6-3：现象、数据、信息和知识,626.29
201822111310144,6-4：数据的二进制表示,1438.05
201822111310144,6-5：总结（暂缺）,405.90000000000003
201822111310147,6-1：开篇实例,1001.93
201822111310147,6-2：比特：虚拟世界的DNA,0.0
201822111310156,6-1：开篇实例,1124.32
201822111310156,6-2：比特：虚拟世界的DNA,886.49
201822111310156,6-3：现象、数据、信息和知识,2213.83
201822111310156,6-4：数据的二进制表示,2258.84
201822111310156,6-5：总结（暂缺）,0.0
201822111310166,6-1：开篇实例,623.84
201822111310166,6-2：比特：虚拟世界的DNA,907.3
201822111310166,6-3：现象、数据、信息和知识,756.6700000000001
201822111310166,6-4：数据的二进制表示,2378.8
201822111310166,6-5：总结（暂缺）,8.09
201822111310174,6-1：开篇实例,1247.3200000000002
201822111310174,6-2：比特：虚拟世界的DNA,74.98
201822111310174,6-4：数据的二进制表示,0.0
201822111310174,6-5：总结（暂缺）,1.41
201822111310183,6-1：开篇实例,1015.18
201822111310183,6-2：比特：虚拟世界的DNA,2067.29
201822111310183,6-3：现象、数据、信息和知识,1961.22
201822111310183,6-4：数据的二进制表示,2049.71
201822111310183,6-5：总结（暂缺）,54.67
201822111310191,6-1：开篇实例,0.0
201822111310194,6-1：开篇实例,697.04
201822111310194,6-2：比特：虚拟世界的DNA,1568.85
201822111310194,6-3：现象、数据、信息和知识,617.43
201822111310194,6-4：数据的二进制表示,1215.21
201822111310194,6-5：总结（暂缺）,126.51
201822111310200,6-1：开篇实例,1265.07
201822111310200,6-2：比特：虚拟世界的DNA,1064.46
201822111310200,6-3：现象、数据、信息和知识,1877.57
201822111310200,6-4：数据的二进制表示,5436.88
201822111310200,6-5：总结（暂缺）,6.6
201822111310205,6-1：开篇实例,748.29
201822111310205,6-2：比特：虚拟世界的DNA,2653.39
201822111310205,6-3：现象、数据、信息和知识,1813.21
201822111310205,6-4：数据的二进制表示,49.22
201822111310205,6-5：总结（暂缺）,13.08
201822111310206,6-1：开篇实例,805.33
201822111310206,6-2：比特：虚拟世界的DNA,3756.69
201822111310206,6-3：现象、数据、信息和知识,3920.94
201822111310206,6-4：数据的二进制表示,0.0
201822111310208,6-1：开篇实例,429.52
201822111310208,6-2：比特：虚拟世界的DNA,899.02
201822111310208,6-3：现象、数据、信息和知识,606.4
201822111310208,6-4：数据的二进制表示,1198.85
201822111310212,6-1：开篇实例,1282.35
201822111310212,6-2：比特：虚拟世界的DNA,1240.5
201822111310212,6-3：现象、数据、信息和知识,193.86
201822111310212,6-4：数据的二进制表示,0.0
201822111310237,6-1：开篇实例,497.43
201822111310237,6-2：比特：虚拟世界的DNA,4106.2300000000005
201822111310237,6-3：现象、数据、信息和知识,0.0
201822111310244,6-1：开篇实例,22.4
201822111310244,6-2：比特：虚拟世界的DNA,17.75
201822111310244,6-3：现象、数据、信息和知识,22.8
201822111310244,6-4：数据的二进制表示,14.14
201822111310244,6-5：总结（暂缺）,14.440000000000001
201822111310259,6-1：开篇实例,0.0
201822111310259,6-2：比特：虚拟世界的DNA,1368.94
201822111310259,6-3：现象、数据、信息和知识,653.28
201822111310259,6-4：数据的二进制表示,2138.32
201822111310259,6-5：总结（暂缺）,289.94
201822111310274,6-1：开篇实例,700.54
201822111310274,6-2：比特：虚拟世界的DNA,414.14
201822111310274,6-3：现象、数据、信息和知识,33.42
