actor,object,metadata
02020001,7-1：开篇实例,320.67
02020001,7-2：通用机器的思想,922.4
02020001,7-3：计算机系统结构,2548.13
02020001,7-4：云计算与数据中心,0.31
02020001,7-5：总结,2.64
10195000484,7-1：开篇实例,0.0
20120010,7-1：开篇实例,101.37
20120010,7-2：通用机器的思想,23.02
20120010,7-3：计算机系统结构,24.04
20120010,7-4：云计算与数据中心,31.84
20120010,7-5：总结,23813.06
201722111930013,7-1：开篇实例,304.31
201722111930013,7-2：通用机器的思想,911.9399999999999
201722111930013,7-3：计算机系统结构,1302.13
201722111930013,7-4：云计算与数据中心,776.3299999999999
201722111930013,7-5：总结,59.18
201822111220032,7-1：开篇实例,211.98
201822111220032,7-2：通用机器的思想,877.27
201822111220032,7-3：计算机系统结构,916.4200000000001
201822111220032,7-4：云计算与数据中心,528.5
201822111220032,7-5：总结,5.81
201822111310030,7-1：开篇实例,1224.7
201822111310030,7-2：通用机器的思想,2033.84
201822111310030,7-3：计算机系统结构,2422.5899999999997
201822111310030,7-4：云计算与数据中心,8988.310000000001
201822111310030,7-5：总结,47.8
201822111310033,7-3：计算机系统结构,2310.72
201822111310033,7-4：云计算与数据中心,798.92
201822111310036,7-1：开篇实例,303.13
201822111310036,7-2：通用机器的思想,502.47
201822111310036,7-3：计算机系统结构,2.48
201822111310036,7-4：云计算与数据中心,497.11
201822111310036,7-5：总结,1150.02
201822111310043,7-1：开篇实例,347.96
201822111310043,7-2：通用机器的思想,1325.71
201822111310043,7-3：计算机系统结构,1270.5
201822111310043,7-4：云计算与数据中心,749.97
201822111310043,7-5：总结,0.0
201822111310055,7-1：开篇实例,323.36
201822111310055,7-2：通用机器的思想,1821.87
201822111310055,7-3：计算机系统结构,1751.95
201822111310055,7-4：云计算与数据中心,2270.45
201822111310055,7-5：总结,0.36
201822111310075,7-1：开篇实例,736.74
201822111310075,7-2：通用机器的思想,1720.79
201822111310075,7-3：计算机系统结构,1436.99
201822111310075,7-4：云计算与数据中心,0.0
201822111310087,7-1：开篇实例,428.09
201822111310087,7-2：通用机器的思想,989.93
201822111310087,7-3：计算机系统结构,0.0
201822111310087,7-4：云计算与数据中心,1353.8899999999999
201822111310087,7-5：总结,10.69
201822111310103,7-1：开篇实例,326.76
201822111310103,7-2：通用机器的思想,2470.06
201822111310103,7-3：计算机系统结构,512.22
201822111310103,7-4：云计算与数据中心,153.76
201822111310103,7-5：总结,60.559999999999995
201822111310124,7-1：开篇实例,314.97999999999996
201822111310124,7-2：通用机器的思想,915.2099999999999
201822111310124,7-3：计算机系统结构,1224.8700000000001
201822111310124,7-4：云计算与数据中心,748.95
201822111310124,7-5：总结,171.38
201822111310127,7-1：开篇实例,376.26
201822111310127,7-2：通用机器的思想,933.1
201822111310127,7-3：计算机系统结构,1272.89
201822111310127,7-4：云计算与数据中心,1344.47
201822111310127,7-5：总结,243.06
201822111310131,7-1：开篇实例,319.76
201822111310131,7-2：通用机器的思想,1131.44
201822111310131,7-3：计算机系统结构,1342.95
201822111310131,7-4：云计算与数据中心,759.7
201822111310131,7-5：总结,532.23
201822111310139,7-1：开篇实例,305.92999999999995
201822111310139,7-2：通用机器的思想,1102.23
201822111310139,7-3：计算机系统结构,1207.68
201822111310139,7-4：云计算与数据中心,1532.86
201822111310139,7-5：总结,419.79
201822111310142,7-1：开篇实例,0.0
201822111310144,7-1：开篇实例,418.19
201822111310144,7-2：通用机器的思想,1092.84
201822111310144,7-3：计算机系统结构,1214.17
201822111310144,7-4：云计算与数据中心,3128.62
201822111310144,7-5：总结,3.92
201822111310147,7-1：开篇实例,0.0
201822111310156,7-1：开篇实例,314.37
201822111310156,7-2：通用机器的思想,1325.08
201822111310156,7-3：计算机系统结构,1205.2
201822111310156,7-4：云计算与数据中心,815.1099999999999
201822111310156,7-5：总结,5.32
201822111310166,7-1：开篇实例,308.93
201822111310166,7-2：通用机器的思想,1491.15
201822111310166,7-3：计算机系统结构,1208.25
201822111310166,7-4：云计算与数据中心,764.95
201822111310166,7-5：总结,21.830000000000002
201822111310174,7-1：开篇实例,314.98
201822111310174,7-2：通用机器的思想,913.65
201822111310174,7-3：计算机系统结构,1255.74
201822111310174,7-4：云计算与数据中心,743.08
201822111310174,7-5：总结,16.78
201822111310179,7-1：开篇实例,439.31
201822111310179,7-2：通用机器的思想,1649.02
201822111310179,7-3：计算机系统结构,1209.61
201822111310179,7-4：云计算与数据中心,1685.7
201822111310179,7-5：总结,22.35
201822111310194,7-1：开篇实例,1475.99
201822111310194,7-2：通用机器的思想,6561.94
201822111310194,7-3：计算机系统结构,1443.21
201822111310194,7-4：云计算与数据中心,1752.1100000000001
201822111310194,7-5：总结,67.04
201822111310205,7-1：开篇实例,465.49
201822111310205,7-2：通用机器的思想,1505.05
201822111310205,7-3：计算机系统结构,1015.3799999999999
201822111310205,7-4：云计算与数据中心,473.69
201822111310205,7-5：总结,14.58
201822111310206,7-1：开篇实例,316.64
201822111310206,7-2：通用机器的思想,2301.2799999999997
201822111310206,7-3：计算机系统结构,1868.79
201822111310206,7-4：云计算与数据中心,754.7
201822111310206,7-5：总结,0.0
201822111310208,7-1：开篇实例,335.59
201822111310208,7-2：通用机器的思想,1039.73
201822111310208,7-3：计算机系统结构,1202.0
201822111310208,7-4：云计算与数据中心,776.08
201822111310208,7-5：总结,113.6
201822111310210,7-1：开篇实例,315.75
201822111310210,7-2：通用机器的思想,0.04
201822111310212,7-1：开篇实例,301.96
201822111310212,7-2：通用机器的思想,725.71
201822111310212,7-3：计算机系统结构,1284.99
201822111310212,7-4：云计算与数据中心,0.0
201822111310237,7-1：开篇实例,312.05
201822111310237,7-2：通用机器的思想,1379.71
201822111310237,7-3：计算机系统结构,1589.57
201822111310237,7-4：云计算与数据中心,0.19
201822111310244,7-1：开篇实例,32.8
201822111310244,7-2：通用机器的思想,290.96
201822111310244,7-3：计算机系统结构,31.11
201822111310244,7-4：云计算与数据中心,33.43
201822111310244,7-5：总结,1.28
201822111310259,7-1：开篇实例,2.72
201822111310259,7-2：通用机器的思想,934.99
201822111310259,7-3：计算机系统结构,1242.7
201822111310259,7-4：云计算与数据中心,2659.61
201822111310259,7-5：总结,2823.1200000000013
201822111310273,7-1：开篇实例,0.0
201822111310288,7-1：开篇实例,661.0899999999999
201822111310288,7-2：通用机器的思想,962.6
201822111310288,7-3：计算机系统结构,963.24
201822111310288,7-4：云计算与数据中心,1529.1
201822111310288,7-5：总结,0.0
201822111310299,7-1：开篇实例,524.84
201822111310299,7-2：通用机器的思想,946.01
201822111310299,7-3：计算机系统结构,1232.93
201822111310299,7-4：云计算与数据中心,5.47
201822111310299,7-5：总结,3.07
201822111310311,7-1：开篇实例,431.59
201822111310311,7-2：通用机器的思想,997.03
201822111310311,7-3：计算机系统结构,1229.9
201822111310311,7-4：云计算与数据中心,1792.16
201822111310311,7-5：总结,251.26
201822111310324,7-1：开篇实例,391.84
201822111310324,7-2：通用机器的思想,1131.32
201822111310324,7-3：计算机系统结构,0.0
201822111310326,7-1：开篇实例,307.45
201822111310326,7-2：通用机器的思想,935.8399999999999
201822111310326,7-3：计算机系统结构,1207.55
201822111310326,7-4：云计算与数据中心,757.46
201822111310326,7-5：总结,200.52
201822111310332,7-1：开篇实例,305.83
201822111310332,7-2：通用机器的思想,1125.88
201822111310332,7-3：计算机系统结构,1452.45
201822111310332,7-4：云计算与数据中心,763.97
201822111310332,7-5：总结,25.54
201822111321005,7-1：开篇实例,307.15
201822111321005,7-2：通用机器的思想,912.01
201822111321005,7-3：计算机系统结构,833.39
201822111321005,7-4：云计算与数据中心,886.22
201822111321005,7-5：总结,59.43000000000001
201822111321019,7-1：开篇实例,322.43
201822111321019,7-2：通用机器的思想,0.0
201931103031004,7-1：开篇实例,100.48
201931103031004,7-2：通用机器的思想,1033.39
201931103031004,7-3：计算机系统结构,788.31
201931103031004,7-4：云计算与数据中心,582.75
201931103031004,7-5：总结,397.32
201931106020148,7-1：开篇实例,315.99
201931106020148,7-2：通用机器的思想,1900.48
201931106020148,7-3：计算机系统结构,1277.85
201931106020148,7-4：云计算与数据中心,756.1400000000001
201931106020148,7-5：总结,555.7
201931106020172,7-1：开篇实例,0.0
201931106030001,7-1：开篇实例,345.87
201931106030001,7-2：通用机器的思想,60.13
201931106030001,7-3：计算机系统结构,1213.07
201931106030001,7-4：云计算与数据中心,762.47
201931106030001,7-5：总结,3.85
201931107010103,7-1：开篇实例,215.19
201931107010103,7-2：通用机器的思想,419.49
201931107010103,7-3：计算机系统结构,1048.72
201931107010103,7-4：云计算与数据中心,661.69
201931107010103,7-5：总结,0.0
201931107010206,7-1：开篇实例,547.02
201931107010206,7-2：通用机器的思想,1231.03
201931107010206,7-3：计算机系统结构,1220.08
201931107010206,7-4：云计算与数据中心,408.7
201931107010206,7-5：总结,0.0
201931108021022,7-1：开篇实例,1940.64
201931108021022,7-2：通用机器的思想,1183.13
201931108021022,7-3：计算机系统结构,2171.79
201931108021022,7-4：云计算与数据中心,0.0
201931108021032,7-1：开篇实例,646.86
201931108021032,7-2：通用机器的思想,1414.68
201931108021032,7-3：计算机系统结构,1222.23
201931108021032,7-4：云计算与数据中心,882.6199999999999
201931108021032,7-5：总结,108.03999999999999
201931108024014,7-1：开篇实例,322.98999999999995
201931108024014,7-2：通用机器的思想,913.88
201931108024014,7-3：计算机系统结构,2765.5
201931108024014,7-4：云计算与数据中心,1083.2799999999997
201931108024014,7-5：总结,16.16
201931109010166,7-1：开篇实例,0.0
201931114011058,7-1：开篇实例,499.09
201931114011058,7-2：通用机器的思想,0.0
adminhubu,7-1：开篇实例,8.629999999999999
