actor,object,metadata
20120010,9-1：开篇实例,17.94
20120010,9-2：数据库的起源与发展,29.65
20120010,9-3：关系数据库,19.06
20120010,9-4：数据仓库与OLAP,27.22
20120010,9-5：数据管理技术新格局,24.21
20120010,9-6：SQL,16.89
20120010,9-7：总结,38.57
201722111930013,9-1：开篇实例,207.96
201722111930013,9-2：数据库的起源与发展,2022.09
201722111930013,9-3：关系数据库,3327.2
201722111930013,9-4：数据仓库与OLAP,1404.61
201722111930013,9-5：数据管理技术新格局,1044.2
201722111930013,9-6：SQL,0.0
201822111220032,9-1：开篇实例,174.37
201822111220032,9-2：数据库的起源与发展,410.72
201822111220032,9-3：关系数据库,1081.91
201822111220032,9-4：数据仓库与OLAP,835.79
201822111220032,9-5：数据管理技术新格局,291.15
201822111220032,9-6：SQL,0.0
201822111310036,9-1：开篇实例,51.86
201822111310043,9-1：开篇实例,245.17
201822111310043,9-2：数据库的起源与发展,873.75
201822111310043,9-3：关系数据库,985.69
201822111310043,9-4：数据仓库与OLAP,963.38
201822111310043,9-5：数据管理技术新格局,351.08
201822111310043,9-6：SQL,665.9
201822111310043,9-7：总结,0.0
201822111310055,9-1：开篇实例,253.37
201822111310055,9-2：数据库的起源与发展,440.79
201822111310055,9-3：关系数据库,970.05
201822111310055,9-4：数据仓库与OLAP,978.66
201822111310055,9-5：数据管理技术新格局,681.99
201822111310055,9-6：SQL,646.93
201822111310055,9-7：总结,67.78
201822111310075,9-1：开篇实例,1540.9
201822111310075,9-2：数据库的起源与发展,1753.55
201822111310075,9-3：关系数据库,427.12
201822111310075,9-4：数据仓库与OLAP,1331.1
201822111310075,9-5：数据管理技术新格局,811.28
201822111310075,9-6：SQL,0.0
201822111310077,9-1：开篇实例,2341.82
201822111310077,9-2：数据库的起源与发展,3.58
201822111310077,9-4：数据仓库与OLAP,0.0
201822111310087,9-1：开篇实例,51.8
201822111310087,9-2：数据库的起源与发展,0.0
201822111310099,9-1：开篇实例,5.78
201822111310099,9-5：数据管理技术新格局,0.0
201822111310124,9-1：开篇实例,218.85
201822111310124,9-2：数据库的起源与发展,451.0
201822111310124,9-3：关系数据库,1258.06
201822111310124,9-4：数据仓库与OLAP,2553.57
201822111310124,9-5：数据管理技术新格局,1132.33
201822111310124,9-6：SQL,899.78
201822111310124,9-7：总结,0.0
201822111310127,9-1：开篇实例,213.53
201822111310127,9-2：数据库的起源与发展,585.61
201822111310127,9-3：关系数据库,908.55
201822111310127,9-4：数据仓库与OLAP,819.66
201822111310127,9-5：数据管理技术新格局,343.25
201822111310127,9-6：SQL,656.87
201822111310127,9-7：总结,752.82
201822111310139,9-1：开篇实例,192.09
201822111310139,9-2：数据库的起源与发展,1301.4
201822111310139,9-3：关系数据库,872.43
201822111310139,9-4：数据仓库与OLAP,1184.89
201822111310139,9-5：数据管理技术新格局,355.45
201822111310139,9-6：SQL,2210.22
201822111310139,9-7：总结,0.0
201822111310142,9-1：开篇实例,432.59
201822111310142,9-2：数据库的起源与发展,842.5
201822111310142,9-3：关系数据库,2852.44
201822111310142,9-4：数据仓库与OLAP,0.0
201822111310144,9-1：开篇实例,207.82999999999998
201822111310144,9-2：数据库的起源与发展,808.61
201822111310144,9-3：关系数据库,1128.92
201822111310144,9-4：数据仓库与OLAP,816.91
201822111310144,9-5：数据管理技术新格局,1365.84
201822111310144,9-6：SQL,939.83
201822111310144,9-7：总结,0.0
201822111310156,9-2：数据库的起源与发展,435.2
201822111310156,9-3：关系数据库,1240.62
201822111310156,9-4：数据仓库与OLAP,822.26
201822111310156,9-5：数据管理技术新格局,426.2
201822111310156,9-6：SQL,0.0
201822111310174,9-1：开篇实例,230.09
201822111310174,9-2：数据库的起源与发展,684.15
201822111310174,9-3：关系数据库,971.55
201822111310174,9-4：数据仓库与OLAP,1141.96
201822111310174,9-5：数据管理技术新格局,0.0
201822111310174,9-6：SQL,0.79
201822111310191,9-1：开篇实例,212.03
201822111310191,9-2：数据库的起源与发展,403.13
201822111310191,9-3：关系数据库,1157.88
201822111310191,9-4：数据仓库与OLAP,863.18
201822111310191,9-5：数据管理技术新格局,442.34
201822111310191,9-6：SQL,665.06
201822111310191,9-7：总结,0.0
201822111310194,9-1：开篇实例,332.57
201822111310194,9-2：数据库的起源与发展,1053.12
201822111310194,9-3：关系数据库,1063.17
201822111310194,9-4：数据仓库与OLAP,918.62
201822111310194,9-5：数据管理技术新格局,415.32
201822111310194,9-6：SQL,696.1
201822111310194,9-7：总结,0.0
201822111310200,9-1：开篇实例,463.82
201822111310200,9-2：数据库的起源与发展,798.88
201822111310200,9-3：关系数据库,5409.780000000002
201822111310200,9-4：数据仓库与OLAP,1836.74
201822111310200,9-5：数据管理技术新格局,1396.96
201822111310200,9-6：SQL,2139.64
201822111310200,9-7：总结,0.87
201822111310205,9-1：开篇实例,23.18
201822111310205,9-2：数据库的起源与发展,30.55
201822111310205,9-3：关系数据库,24.39
201822111310205,9-4：数据仓库与OLAP,31.72
201822111310205,9-5：数据管理技术新格局,87.49000000000001
201822111310205,9-6：SQL,234.13
201822111310205,9-7：总结,1851.86
201822111310206,9-1：开篇实例,446.96
201822111310206,9-2：数据库的起源与发展,853.58
201822111310206,9-3：关系数据库,1079.35
201822111310206,9-4：数据仓库与OLAP,904.59
201822111310206,9-5：数据管理技术新格局,1039.14
201822111310206,9-6：SQL,4670.78
201822111310206,9-7：总结,0.0
201822111310208,9-1：开篇实例,213.1
201822111310208,9-2：数据库的起源与发展,403.66
201822111310208,9-3：关系数据库,909.27
201822111310208,9-4：数据仓库与OLAP,754.4
201822111310208,9-5：数据管理技术新格局,352.52
201822111310208,9-6：SQL,0.0
201822111310208,9-7：总结,0.0
201822111310244,9-1：开篇实例,34.07
201822111310244,9-2：数据库的起源与发展,76.27
201822111310244,9-3：关系数据库,72.29
201822111310244,9-4：数据仓库与OLAP,32.07
201822111310244,9-5：数据管理技术新格局,16.73
201822111310244,9-6：SQL,157.55
201822111310244,9-7：总结,0.0
201822111310259,9-1：开篇实例,260.31
201822111310259,9-2：数据库的起源与发展,0.0
201822111310259,9-3：关系数据库,1052.32
201822111310259,9-4：数据仓库与OLAP,1070.89
201822111310259,9-5：数据管理技术新格局,384.51
201822111310259,9-6：SQL,655.32
201822111310259,9-7：总结,0.0
201822111310288,9-1：开篇实例,422.71
201822111310288,9-2：数据库的起源与发展,750.26
201822111310288,9-3：关系数据库,907.15
201822111310288,9-4：数据仓库与OLAP,822.23
201822111310288,9-5：数据管理技术新格局,341.97
201822111310288,9-6：SQL,1143.21
201822111310288,9-7：总结,0.0
201822111310299,9-1：开篇实例,206.79
201822111310299,9-2：数据库的起源与发展,333.47
201822111310299,9-3：关系数据库,908.78
201822111310299,9-4：数据仓库与OLAP,816.4
201822111310299,9-5：数据管理技术新格局,386.97
201822111310299,9-6：SQL,1112.88
201822111310299,9-7：总结,0.0
201822111310311,9-1：开篇实例,202.6
201822111310311,9-2：数据库的起源与发展,851.97
201822111310311,9-3：关系数据库,924.6700000000001
201822111310311,9-4：数据仓库与OLAP,1139.12
201822111310311,9-5：数据管理技术新格局,1335.31
201822111310311,9-6：SQL,934.53
201822111310311,9-7：总结,437.42
201822111310324,9-1：开篇实例,1253.91
201822111310324,9-2：数据库的起源与发展,0.0
201822111310326,9-1：开篇实例,214.53
201822111310326,9-2：数据库的起源与发展,401.27
201822111310326,9-3：关系数据库,659.35
201822111310326,9-4：数据仓库与OLAP,874.22
201822111310326,9-5：数据管理技术新格局,339.68
201822111310326,9-6：SQL,424.74
201822111310326,9-7：总结,5541.37
201822111310332,9-1：开篇实例,212.48
201822111310332,9-2：数据库的起源与发展,431.19
201822111310332,9-3：关系数据库,925.48
201822111310332,9-4：数据仓库与OLAP,811.43
201822111310332,9-5：数据管理技术新格局,332.57
201822111310332,9-6：SQL,633.01
201822111310332,9-7：总结,0.0
201822111321005,9-1：开篇实例,5755.87
201822111321005,9-2：数据库的起源与发展,1003.65
201822111321005,9-3：关系数据库,1962.24
201822111321005,9-4：数据仓库与OLAP,0.0
201822111321005,9-5：数据管理技术新格局,0.0
201822111321005,9-6：SQL,0.0
201822111321005,9-7：总结,3.48
201822111321009,9-1：开篇实例,199.99
201822111321009,9-2：数据库的起源与发展,403.82
201822111321009,9-3：关系数据库,0.0
201822111321019,9-1：开篇实例,300.74
201822111321019,9-2：数据库的起源与发展,1206.32
201822111321019,9-3：关系数据库,2001.41
201822111321019,9-4：数据仓库与OLAP,1264.82
201822111321019,9-5：数据管理技术新格局,1631.9
201822111321019,9-6：SQL,0.0
201822111321038,9-1：开篇实例,204.27
201822111321038,9-2：数据库的起源与发展,0.0
201822111321039,9-1：开篇实例,2208.44
201822111321039,9-2：数据库的起源与发展,0.0
201931101014068,9-1：开篇实例,2354.6000000000004
201931101014068,9-2：数据库的起源与发展,1109.9299999999998
201931101014068,9-3：关系数据库,5.37
201931101014068,9-4：数据仓库与OLAP,3.55
201931106020148,9-1：开篇实例,214.7
201931106020148,9-2：数据库的起源与发展,836.51
201931106020148,9-3：关系数据库,1050.23
201931106020148,9-4：数据仓库与OLAP,635.16
201931106020148,9-5：数据管理技术新格局,560.97
201931106020148,9-6：SQL,644.72
201931106020148,9-7：总结,0.0
201931106020172,9-1：开篇实例,232.36
201931106020172,9-2：数据库的起源与发展,498.76
201931106020172,9-3：关系数据库,1108.43
201931106020172,9-4：数据仓库与OLAP,872.26
201931106020172,9-5：数据管理技术新格局,488.32
201931106020172,9-6：SQL,639.9
201931106020172,9-7：总结,0.0
201931106030001,9-1：开篇实例,1912.7
201931106030001,9-2：数据库的起源与发展,522.67
201931106030001,9-3：关系数据库,927.29
201931106030001,9-4：数据仓库与OLAP,835.87
201931106030001,9-5：数据管理技术新格局,348.14
201931106030001,9-6：SQL,876.19
201931106030001,9-7：总结,0.0
201931107010103,9-1：开篇实例,0.92
201931107010103,9-2：数据库的起源与发展,1.88
201931108021022,9-1：开篇实例,374.76
201931108021022,9-2：数据库的起源与发展,1760.03
201931108021022,9-3：关系数据库,0.0
201931108021032,9-1：开篇实例,223.49
201931108021032,9-2：数据库的起源与发展,728.33
201931108021032,9-3：关系数据库,688.73
201931108021032,9-4：数据仓库与OLAP,1277.01
201931108021032,9-5：数据管理技术新格局,0.0
201931108024014,9-1：开篇实例,207.67
201931108024014,9-2：数据库的起源与发展,428.52
201931108024014,9-3：关系数据库,938.24
201931108024014,9-4：数据仓库与OLAP,816.69
201931108024014,9-5：数据管理技术新格局,550.03
201931108024014,9-6：SQL,1937.44
201931108024014,9-7：总结,0.0
adminhubu,9-1：开篇实例,0.0
adminhubu,9-3：关系数据库,2.06
adminhubu,9-4：数据仓库与OLAP,0.91
adminhubu,9-5：数据管理技术新格局,0.92
adminhubu,9-6：SQL,1.27
adminhubu,9-7：总结,1.18
